,id,name,category,ratings,review_counts,zip_code
57,saijdv-vXJrvsCfvr7SZOw,Katsuya,Japanese,4.5,417,M5B 2M2
58,0a2O150ytxrDjDzXNfRWkA,Miku,Japanese,4.0,778,M5J 2R8
59,IhM1UBvAMM5Fia4f_v1wdQ,El Nahual Tacos,Mexican,4.5,118,M5S 1X2
60,JMiaNitMzMbJm6Kh0RbT5A,Canoe,Canadian (New),4.0,665,M5K 1H6
61,zEwQJl9haP5BYIl0peOpGA,Sugo,Italian,4.5,184,M6H 3Y2
62,hDy-uY7Vy_TZdGBzw59lhA,Saku Sushi,Sushi Bars,4.0,493,M5V 2B2
63,b7wUWVV01xaa7E0FUNMDiw,DaiLo,Chinese,4.0,278,M6G 1A5
64,g3t2AQQVT2tWD64Huu7xVA,Royal Ontario Museum,Museums,4.0,317,M5S 2C6
65,XYIPXJ9parr9FtvvcGI1SA,GB Hand-pulled Noodles,Chinese,4.0,535,M5G 1C9
66,VRwT0pscR5vESCrAnUpNwQ,Wilbur Mexicana,Mexican,4.0,566,M5V 1M3
67,WN3NSIJQHfxtjf1kV7snVA,Kevin's Taiyaki,Specialty Food,4.5,69,M6G 4B9
68,TR0-w6VoZDAdvFQiq7P2Ug,Millie Creperie,Creperies,4.0,363,M5T 1L8
69,G24p1oGGfY3t-m8Z2lPCaQ,Tinuno,Filipino,4.0,560,M4X 1J6
70,AUv2UoAAi7VASJ6VK5lOlw,Kensington Market,Farmers Market,4.5,267,M5T 2K2
71,41o1FUbCYKJv2djtnlkzlg,Bar Raval,Spanish,4.0,274,M6G 2J3
72,Fx5haZv9PP3E7Ljp-h7B1Q,Eggspectation,Breakfast & Brunch,4.0,664,M5G 2C9
73,DE89UdHFMCN6DtYWZuer5A,Hokkaido Ramen Santouka,Ramen,4.0,849,M5B 2C8
74,m3U4Pey_Yr0jgJb8MHfy5g,Rasta Pasta,Caribbean,4.0,328,M5T
75,qR4EIktJfQKc4rnKgBzvtw,Gyubee Japanese Grill - Bloor,Barbeque,4.0,229,M5S 1W7
76,ttuEwktrkmh3TUlSFPZqAA,Banh Mi Boys,Vietnamese,4.0,486,M5B
77,trKyIRyjKqVSZmcU0AnICQ,Pearl Diver,Seafood,4.0,571,M5C 1K9
78,CsS9WsonGYyE3vINi5bxSg,Barrio Coreano,Korean,3.5,233,M6G 1K9
79,c35qzLN6ItDpVIoj2uQW4Q,Ravi Soups,Sandwiches,4.5,358,M5V 1R1
80,rO3lZpVSoRMhhd0AEJBjlg,Sunrise House,Korean,3.5,206,M6G 1L1
81,3uIXuw878fNjxZ2Li1diFg,The Hogtown Vegan,Vegan,4.0,404,M6H 1M3
82,SW6ZQk22G1_CV81_gfnvNQ,La Carnita,Mexican,4.0,491,M5S 2K2
83,HUYEadSbGSQNHXFmT2Ujjw,Manpuku Japanese Eatery,Japanese,4.0,472,M5T 2X4
84,epb_jKqFvo34MoozEM3Qsg,Roti Cuisine of India,Indian,4.5,106,M5R 1W1
85,c6f8wBjPLDzyubEBqgcMnw,Fahrenheit Coffee,Coffee & Tea,4.5,314,M5A 4J6
86,iZ_Hdpxqwt3-c6349wXhuA,Jin Dal Lae,Korean,4.5,76,M6G 1L1
87,If8BMnK0BFY213rOtxs9Yg,Sea Witch Fish and Chips,Fish & Chips,4.0,117,M6C 1A9
88,ajHLLUe-A9dTd7WyU12XZQ,Madras Masala,Indian,4.0,145,M6G 1L7
89,gtcsOodbmk4E0TulYHnlHA,Northwood,Cafes,4.0,114,M6G 1M1
90,7qHU_Zh5qEJP3DaaBHqWBg,Saigon Lotus,Vietnamese,4.5,183,M5T 1K6
91,W5d8iNog90R-qw43m5dGwg,Café Polonez,Polish,4.5,251,M6R 2L5
92,jTZYireK6pnPb6Rni0jygw,Wow Sushi,Sushi Bars,4.0,413,M4Y 1R4
93,-BbnAc9YEO6pjvJGEtFbVQ,Sansotei,Ramen,4.0,271,M4Y 2A6
94,ohEGwJtSqrVd2SD-FKKrUQ,Napoli Centrale,Italian,4.5,59,M5R 3G5
95,-9dmhyBvepc08KPEHlEM0w,CN Tower,Landmarks & Historical Buildings,4.0,781,M5V 2T6
96,TpwCjlKsdYjLsvlYhKGt4g,Almond Butterfly Harbord Bakeshop & Cafe,Bakeries,4.5,151,M5S 1G6
97,BrGs6OGqqtKqaLuxoMySBg,Hanabusa Cafe,Desserts,4.0,282,M5T 2K2
98,fNc1WuGwiT7RhqXUIe4S8A,Sabai Sabai Kitchen and Bar,Laotian,4.0,380,M4W 1A9
99,yQS7bWaBhhGZJ1zeXku4yA,Imm Thai Kitchen,Thai,4.5,111,M6G 1B7
100,B5JCODx4728Ce2Qca1NFHw,Hanmoto,Japanese,4.0,212,M6J 1X4
101,H9pG0BNhqID2MTj8KnY3jQ,COO Café Bread or Rice,Japanese,4.5,85,M6H 1M4
102,RwRNR4z3kY-4OsFqigY5sw,Uncle Tetsu's Japanese Cheesecake,Desserts,3.5,1009,M5G 1M5
103,O-b5osM0NO4f31dp6_DatQ,Nadege,Desserts,4.0,412,M6J 1G2
104,xwmwTpzw9XSwK-UT5Ka3HQ,Bellwoods Brewery,Breweries,4.0,334,M6J 1R5
105,JG9UpsFR6hrqQqsKh_RyaQ,Planta Yorkville,Tapas/Small Plates,4.0,430,M5R 3P5
106,EL-iUP2pr6aJE2ZRVyNwyA,Baker and Scone,Breakfast & Brunch,4.0,78,M6C 1B2
107,3glVZZh_vyZH1VvPU0307A,Enoteca Sociale,Italian,4.0,301,M6J 1X7
108,1DtyA7pnc66hTkv64lKlzw,Takht-e Tavoos,Persian/Iranian,4.5,125,M6H 1B5
109,uPa5hrWmHm0n1l4MSyVMGQ,Aloette,French,4.5,234,M5V 2A5
110,TozYSxnKbMECma0exWdnFg,FK,French,4.5,34,M6C 1B5
111,Nq0UHjD_cKW9UbIJplQf_g,Pow Wow Cafe,Canadian (New),4.5,140,M5T 2L4
112,FHYKWg2ZAJf3cRWKfg2Y5g,Craque de Creme,Desserts,4.0,76,M5R 3H7
113,KWojrEKjUqHCRI5HO7pB4g,AGO - Art Gallery of Ontario,Art Museums,4.0,230,M5T 1G4
114,K3NW8TEu4QRQvFvHer8v4A,Joso's,Seafood,4.5,150,M5R 1J2
115,4m_hApwQ054v3ue_OxFmGw,Patria,Spanish,4.0,488,M5V 1L7
