restaurant_id,name,category,ratings,review_counts,zip_code
47wBHgBwQ8_70sjmXow_1g,Her Father's Cider Bar & Kitchen,Gastropubs,4.5,157,M5S 1G7
MMGnDeqMUNQsLC5V6BINjQ,Mr.Tonkatsu,Japanese,4.0,190,M5S 1Y3
lDpVyjENOz_qbxbRoyBi8w,Black Camel,Sandwiches,4.5,340,M4W 1S9
U4iqELk1IiqARpk5uJJOZg,Eva's Original Chimneys,Desserts,4.0,285,M5S 1X8
kOFDVcnj-8fd3doIpCQ06A,Mildred's Temple Kitchen,Breakfast & Brunch,4.0,905,M6K 3S3
h_4dPV9M9aYaBliH1Eoeeg,Wvrst,German,4.0,791,M5V 1M5
qPVqfJAzC8APF8aWGBtFRA,Antler Kitchen & Bar,Canadian (New),4.5,265,M6J 1Y6
o6Yor6ofIw2TqM3mN28Kzg,Tacos El Asador,Mexican,4.0,292,M6G 1L2
a-Mo7Ipu_c5y21mmg0-F7g,Agio,Italian,4.5,175,M6E 1C5
EEIz44ewHhOKmfTloAK13g,Alo Restaurant,Bars,4.5,292,M5V 2A5
iJCI80Nwp514xIqBOgjhCA,Fat Pasha,Middle Eastern,4.0,190,M5R 1V9
ICFYlS9nwsoAyaiRXMu9tQ,Fuwa Fuwa Japanese Pancakes,Desserts,4.0,352,M5S 2N5
KVpvE6pOPM9KMvak4HFsNg,Pizzeria Libretto,Pizza,4.0,536,M6J 2Z8
oKfiAU3X4C2chk6DJdKPAQ,Dutch Dreams,Ice Cream & Frozen Yogurt,4.0,119,M6G 2N3
Q3SdFs_6P3BPhPPywHZqBQ,Khmer Thai Restaurant,Thai,4.0,133,M6E 1A4
Qmwfg-PtYuCo5Q_IwcA_HQ,JaBistro,Japanese,4.0,528,M5V 1V6
snw9iNNLpFYZeHotW00uVA,Lee Restaurant,Asian Fusion,4.0,637,M5V 1M5
fyekfJA4hXNgMQ09HL9WIA,Famiglia Baldassarre,Italian,4.5,49,M6H 4H1
saijdv-vXJrvsCfvr7SZOw,Katsuya,Japanese,4.5,417,M5B 2M2
0a2O150ytxrDjDzXNfRWkA,Miku,Japanese,4.0,778,M5J 2R8
IhM1UBvAMM5Fia4f_v1wdQ,El Nahual Tacos,Mexican,4.5,118,M5S 1X2
JMiaNitMzMbJm6Kh0RbT5A,Canoe,Canadian (New),4.0,665,M5K 1H6
zEwQJl9haP5BYIl0peOpGA,Sugo,Italian,4.5,184,M6H 3Y2
hDy-uY7Vy_TZdGBzw59lhA,Saku Sushi,Sushi Bars,4.0,493,M5V 2B2
b7wUWVV01xaa7E0FUNMDiw,DaiLo,Chinese,4.0,278,M6G 1A5
g3t2AQQVT2tWD64Huu7xVA,Royal Ontario Museum,Museums,4.0,317,M5S 2C6
XYIPXJ9parr9FtvvcGI1SA,GB Hand-pulled Noodles,Chinese,4.0,535,M5G 1C9
VRwT0pscR5vESCrAnUpNwQ,Wilbur Mexicana,Mexican,4.0,566,M5V 1M3
WN3NSIJQHfxtjf1kV7snVA,Kevin's Taiyaki,Specialty Food,4.5,69,M6G 4B9
TR0-w6VoZDAdvFQiq7P2Ug,Millie Creperie,Creperies,4.0,363,M5T 1L8
G24p1oGGfY3t-m8Z2lPCaQ,Tinuno,Filipino,4.0,560,M4X 1J6
AUv2UoAAi7VASJ6VK5lOlw,Kensington Market,Farmers Market,4.5,267,M5T 2K2
41o1FUbCYKJv2djtnlkzlg,Bar Raval,Spanish,4.0,274,M6G 2J3
Fx5haZv9PP3E7Ljp-h7B1Q,Eggspectation,Breakfast & Brunch,4.0,664,M5G 2C9
DE89UdHFMCN6DtYWZuer5A,Hokkaido Ramen Santouka,Ramen,4.0,849,M5B 2C8
m3U4Pey_Yr0jgJb8MHfy5g,Rasta Pasta,Caribbean,4.0,328,M5T
